ID,Title,Year,Rating,Director,Actors,Genres
tt0375997,Nandha,2001,7.7,Bala,"['Suriya', 'Laila', 'Raj Kiran']","['Action', 'Drama']"
tt11209784,Atcham Thavir,2018,7.7,,"['Gana', 'Uthaya T.H.R.', ""'Punnagai Poo' Geetha""]","['Comedy', 'Thriller']"
tt0891486,Garibanche Rajya,1948,,,,
tt8011546,Guzargaah,2017,,Vani Kaul,"['Lothika Jha', 'Vani Kaul']","['Short', 'Biography', 'Family']"
tt5224166,Tu Hamaar Hou,2006,1.8,Jayprakkash Shaw,"['Pinky Campbell', 'Mimoh Chakraborty', 'Jagdish']",['Romance']
tt0400917,Vapsi Saajan Ki,1995,,,"['Shoma Sircar', 'Rita Bhaduri', 'Ashwini Bhave']",['Romance']
tt14084950,Chirayu,2014,,Prashanth,"['Avinash', 'Shubha Poonja', 'Om Prakash Rao']",['Drama']
tt1238718,Alibaba Aur 40 Chor,2004,4.7,Sunil Agnihotri,"['Azghar', 'Divya Dwivedi', 'Anwar Fatehan']","['Action', 'Adventure', 'Drama', 'Sci-Fi']"
tt0392670,"Rajadhi Raja, Raja Kulothunga, Raja Marthanda, Raja Gambeera, Karthavaraya Krishna, Kamarajan",1993,4.6,Balu Anand,"['S.S. Chandran', 'Jai Ganesh', 'Mansoor Ali Khan']",['Crime']
tt1114725,Heroes,2008,5.7,Samir Karnik,"['Sohail Khan', 'Vatsal Seth', 'Amrita Arora']","['Action', 'Adventure', 'Comedy', 'Crime', 'Musical']"
tt2368870,Shanmugapriya,1974,,,"['R. Muthuraman', 'B. Jaya', 'V.S. Raghavan']",['Drama']
tt3161758,Malini 22,2013,5.1,Sripriya,"['Nithya Menen', 'Krrish', 'Kovai Sarala']","['Drama', 'Thriller']"
tt1551631,Prem Amar,2009,6.9,Raj Chakraborty,"['Soham Chakraborty', 'Payel Sarkar', 'Biswajit Chakraborty']",['Romance']
tt6634610,Ajana Path,1994,,Srinibas Chakraborty,"['Master Akshay', 'Amrita Chatterjee', 'Prasenjit Chatterjee']","['Action', 'Drama', 'Romance']"
tt7033852,Air Mail,1946,,A. Rashid,"['Dilawar', 'Asmini', 'Shashi']",['Action']
tt8033702,Naqaab,2018,5.5,Rajiv Biswas,"['Shakib Khan', 'Nusrat Jahan', 'Sayantika Banerjee']","['Comedy', 'Horror', 'Thriller']"
tt0282275,Zulmi,1999,4.1,Kuku Kohli,"['Akshay Kumar', 'Twinkle Khanna', 'Aruna Irani']","['Action', 'Drama']"
tt0149602,Agni Sanskar,1961,7.4,Agradoot,"['Uttam Kumar', 'Supriya Choudhury', 'Anil Chatterjee']",['Drama']
tt5021536,Kendasampige,2015,8.3,Soori,"['Vikky Varun', 'Manvita Kamath', 'Rajesh Nataranga']","['Romance', 'Thriller']"
tt2786580,Nasibo,1994,7.9,,"['Raj Babbar', 'Kimi Verma', 'Amitoj Mann']",['Action']
tt9261840,Sakala Kalasala,2019,7.2,Vinod Guruvayoor,"['Niranjan', 'Manasa Radhakrishnan', 'Jacob Gregory']",['Comedy']
tt13282724,Titlu Beka,2015,,Anand .G.K.,"['Ayush', 'Moggina Manasu', 'Neha Patil']",['Drama']
tt2130282,These Birds Walk,2012,6.9,,"['Shehr Ali', 'Qayyum Bhai', 'Abdul Sattar Edhi']","['Documentary', 'Drama', 'News']"
tt14320908,Bhaktha,2007,,Sri Ram,"['Agnni', 'Sindhu']",['Drama']
tt9248724,Kannada Deshadol,2018,,Aviram Kanteerava,"['Nazar Ali', 'Harish Arasu', 'Tennis Krishna']",['Drama']
tt13711228,Aranyakanda,2018,,Raghunandana S.,"['Tekkada Pavan Damodar', 'Amar Gowda', 'Archana Kottige']",
tt0086075,Pallavi Anu Pallavi,1983,7.2,Mani Ratnam,"['Anil Kapoor', 'Lakshmi', 'Kiran Vairale']","['Drama', 'Romance']"
tt1492738,Bhojan,1948,,L.S. Ramachandran,"['M.G. Chakrapani', 'Lalitha', 'Padmini']",
tt0091312,Jwala,1986,,Sudesh Issar,"['Puneet Issar', 'Geeta Kak', 'Goga Kapoor']","['Action', 'Drama', 'Thriller']"
tt0154692,Joydev,1933,,Jyotish Bannerjee,"['Khirodegopal Mukherjee', 'Shishubala']",
tt0282845,Piriyilla Naam,1984,,Joshiy,"['Prem Nazir', 'Lakshmi', 'Shankar']","['Action', 'Drama']"
tt0389725,7 Days,1995,3.7,Sunil Kumar,"['Arvind Singh', 'Channa Ruparel', 'Ranjeet Bedi']","['Action', 'Drama']"
tt1399058,Nagordola,2005,7.4,Raj Mukherjee,"['Sangeet Bhoumik', 'Samata Das', 'Parthasarathi Deb']",['Drama']
tt9342916,Sita on the Road,2021,8.1,Praneeth,"['Kalpika Ganesh', 'Gayathri Gupta', 'Khatera Hakimi']",['Drama']
tt0273938,Panjaloham,1998,,K.K. Haridas,,
tt0359512,Jeeo Aur Jeene Do,1982,4.7,Shyam Ralhan,"['Jeetendra', 'Reena Roy', 'Nutan']","['Action', 'Drama']"
tt11210036,Order,1979,,,"['Sultan Rahi', 'Neelo', 'Kifayat Hussain Bhatti']","['Action', 'Crime']"
tt4708708,Sadqay Tumhare,2014,7.3,,"['Mahira Khan', 'Adnan Malik', 'Haris Waheed']",['Romance']
tt6154978,Ovishap,1967,,Rashed Asghar Chowdhury,"['Sumita Devi', 'Shaukat Akbar', 'Anwar Hossain']",['Drama']
tt7027278,Kedarnath,2018,6.7,Abhishek Kapoor,"['Sushant Singh Rajput', 'Sara Ali Khan', 'Nitish Bharadwaj']","['Drama', 'Romance']"
tt7676212,Jhyanakuti,2017,6.8,Simosh Sunuwar,"['Benisha Hamal', 'Saugat Malla', 'Sumi Moktan']","['Comedy', 'Drama', 'Romance']"
tt0321259,Apna Haath Jagannath,1960,7.0,Mohan Segal,"['Kishore Kumar', 'Sayeeda Khan', 'Nasir Hussain']",['Comedy']
